Testcase,Verify result,time,Total number of task,Largest number of task
0,Verified_Result.Safe,1.7151618003845215,1,1
1,Verified_Result.Safe,1.3578457832336426,1,1
2,Verified_Result.Safe,940.4604399204254,1637,170
3,Verified_Result.Safe,0.9664797782897949,1,1
4,Verified_Result.Safe,0.9087984561920166,1,1
5,Verified_Result.Safe,1.2765231132507324,1,1
6,Verified_Result.Safe,0.9243698120117188,1,1
7,Verified_Result.Safe,286.82165718078613,701,80
8,Verified_Result.Safe,1.0977845191955566,1,1
9,Verified_Result.Safe,0.9869577884674072,1,1
10,Verified_Result.Safe,1.1578738689422607,1,1
11,Verified_Result.Safe,0.9570326805114746,1,1
12,Verified_Result.Safe,0.9227120876312256,1,1
13,Verified_Result.Safe,1.296159267425537,1,1
14,Verified_Result.Safe,1.1817970275878906,1,1
15,Verified_Result.Unknow,97.09858560562134,361,147
16,Verified_Result.Safe,0.8900735378265381,1,1
17,Verified_Result.Safe,1.0385937690734863,1,1
18,Verified_Result.Unknow,113.31640267372131,437,169
19,Verified_Result.Safe,0.9959230422973633,1,1
20,Verified_Result.Safe,15.623692512512207,31,12
21,Verified_Result.Safe,0.9185471534729004,1,1
22,Verified_Result.Safe,0.9280204772949219,1,1
23,Verified_Result.Safe,1.2988133430480957,1,1
24,Verified_Result.Safe,0.885312557220459,1,1
25,Verified_Result.Safe,0.8210721015930176,1,1
26,Verified_Result.Safe,0.9709756374359131,1,1
27,Verified_Result.Safe,0.8193464279174805,1,1
28,Verified_Result.Safe,0.8191099166870117,1,1
29,Verified_Result.Safe,1.1187751293182373,1,1
30,Verified_Result.Safe,0.8839964866638184,1,1
31,Verified_Result.Unknow,1714.058453798294,4387,1029
32,Verified_Result.Safe,0.9609746932983398,1,1
33,Verified_Result.Safe,0.7075271606445312,1,1
34,Verified_Result.Safe,0.8342254161834717,1,1
35,Verified_Result.Safe,0.8117663860321045,1,1
36,Verified_Result.Safe,0.8291330337524414,1,1
37,Verified_Result.Safe,0.8013358116149902,1,1
38,Verified_Result.Safe,0.8242688179016113,1,1
39,Verified_Result.Safe,1.7136435508728027,3,2
40,Verified_Result.Unknow,1747.2933778762817,5001,383
41,Verified_Result.Safe,2.1176645755767822,1,1
42,Verified_Result.Safe,0.8594775199890137,1,1
43,Verified_Result.Safe,0.8255710601806641,1,1
44,Verified_Result.Safe,0.96756911277771,1,1
45,Verified_Result.Safe,0.8111569881439209,1,1
46,Verified_Result.Safe,0.7843203544616699,1,1
47,Verified_Result.Safe,0.7796742916107178,1,1
48,Verified_Result.Safe,0.8170437812805176,1,1
49,Verified_Result.Safe,0.720041036605835,1,1
50,Verified_Result.Safe,0.7493469715118408,1,1
51,Verified_Result.Safe,0.7560470104217529,1,1
52,Verified_Result.Safe,0.8130753040313721,1,1
53,Verified_Result.Safe,0.7495791912078857,1,1
54,Verified_Result.Safe,0.7132852077484131,1,1
55,Verified_Result.Safe,0.8148150444030762,1,1
56,Verified_Result.Safe,0.7669012546539307,1,1
57,Verified_Result.Safe,20.30684232711792,43,14
58,Verified_Result.Safe,0.7630062103271484,1,1
59,Verified_Result.Unknow,386.4942274093628,2057,1029
60,Verified_Result.Safe,0.727881908416748,1,1
61,Verified_Result.Safe,0.7706925868988037,1,1
62,Verified_Result.UnSafe,0.12509369850158691,0,0
63,Verified_Result.Safe,0.8681900501251221,1,1
64,Verified_Result.Safe,0.7525715827941895,1,1
65,Verified_Result.UnSafe,0.1284499168395996,0,0
66,Verified_Result.Safe,0.7593896389007568,1,1
67,Verified_Result.Safe,0.7551670074462891,1,1
68,Verified_Result.Safe,0.9146757125854492,1,1
69,Verified_Result.Safe,0.7521460056304932,1,1
70,Verified_Result.Safe,0.8298096656799316,1,1
71,Verified_Result.Safe,0.7947838306427002,1,1
72,Verified_Result.Safe,0.8300387859344482,1,1
73,Verified_Result.UnSafe,0.13907957077026367,0,0
74,Verified_Result.Safe,0.886650562286377,1,1
75,Verified_Result.Safe,0.8494303226470947,1,1
76,Verified_Result.Safe,0.8457095623016357,1,1
77,Verified_Result.Safe,0.7986094951629639,1,1
78,Verified_Result.Unknow,178.38736152648926,665,214
79,Verified_Result.Safe,0.7864153385162354,1,1
80,Verified_Result.Safe,0.7279675006866455,1,1
81,Verified_Result.Safe,0.7315013408660889,1,1
82,Verified_Result.Safe,0.7543561458587646,1,1
83,Verified_Result.Safe,0.73291015625,1,1
84,Verified_Result.Safe,0.7894229888916016,1,1
85,Verified_Result.Safe,0.7310106754302979,1,1
86,Verified_Result.Safe,0.7745637893676758,1,1
87,Verified_Result.Safe,0.7535049915313721,1,1
88,Verified_Result.Safe,0.7028791904449463,1,1
89,Verified_Result.Safe,0.7830729484558105,1,1
90,Verified_Result.Safe,0.7672741413116455,1,1
91,Verified_Result.Safe,0.702286958694458,1,1
92,Verified_Result.UnSafe,0.09221029281616211,0,0
93,Verified_Result.Safe,0.7639977931976318,1,1
94,Verified_Result.Safe,0.7114605903625488,1,1
95,Verified_Result.Safe,0.6819257736206055,1,1
96,Verified_Result.Unknow,403.008177280426,2037,956
97,Verified_Result.Safe,0.8999946117401123,1,1
98,Verified_Result.Safe,0.8282129764556885,1,1
99,Verified_Result.Safe,0.8187899589538574,1,1
